"GISJOIN","pct99_90","pct199_90","pct200_90","NHGISCODE","GJOIN2000","GJOIN2012","origGEOID"
"G42010100295",13.1970260223048,33.7360594795539,63.8475836431227,"G4201010029500","G4201010029500","","4210129500"
"G42010100296",13.6363636363636,38.7272727272727,58.4545454545455,"G4201010029600","G4201010029600","","4210129600"
"G42010100297",9.27318295739348,32.0802005012531,61.1528822055138,"G4201010029700","G4201010029700","","4210129700"
"G42010100298",8.42306771955013,24.7666905958363,71.5482172768605,"G4201010029800","G4201010029800","G4201010029800","4210129800"
"G42010100299",22.4947928720204,42.3513075676927,54.8484147188151,"G4201010029900","G4201010029900","G4201010029900","4210129900"
"G42010100300",20.6209724663152,47.0855301698887,51.0398359695372,"G4201010030000","G4201010030000","G4201010030000","4210130000"
"G42010100301",12.2664199814986,28.8991674375578,68.4366327474561,"G4201010030100","G4201010030100","G4201010030100","4210130100"
"G42010100302",6.77703852699985,21.5379854556707,76.5434008974161,"G4201010030200","G4201010030200","G4201010030200","4210130200"
"G42010100303",10.9694247210549,22.5184755832488,76.6555571656282,"G4201010030300","G4201010030300","","4210130300"
"G42010100304",4.36187399030695,24.8788368336026,72.859450726979,"G4201010030400","G4201010030400","","4210130400"
"G42010100305",4.68209908871897,16.685869906777,78.4434901016026,"G4201010030500","G4201010030500","","4210130500"
"G42010100306",5.06853681861651,19.6365954733822,80.0446286260759,"G4201010030600","G4201010030600","G4201010030600","4210130600"
"G42010100307",8.5846044696701,18.2688896771905,77.8290173820504,"G4201010030700","G4201010030700","G4201010030700","4210130700"
"G42010100308",5.65523506699977,9.72064501476266,87.1224165341812,"G4201010030800","G4201010030800","G4201010030800","4210130800"
"G42010100309",4.78950579621721,19.4020744356315,79.3471629042099,"G4201010030900","G4201010030900","G4201010030900","4210130900"
"G42010100310",5.66743895918731,16.1646765282481,83.1937266084477,"G4201010031000","G4201010031000","G4201010031000","4210131000"
"G42010100311",7.73143438453713,19.3285859613428,77.7212614445575,"G4201010031100","G4201010031100","","4210131100"
"G42010100312",9.12636505460218,21.606864274571,75.6630265210608,"G4201010031200","G4201010031200","G4201010031200","4210131200"
