GEOID,hous_d,li_d,nw_d,tot199_d,totnw_d,univ_d
34007603503,362.1,0.05405996935872182,0.17190913062472696,247,787,4569
34007603504,272.2,0.049162011173184354,0.22271880819366852,132,598,2685
34007603505,229,0.06705035971223021,0.3087729357798165,233,1077,3475
34007603506,298.2,0.041883062489529235,0.28695506931685316,250,1718,5969
34007603507,347.8,0.08176382660687594,0.3071800810654314,547,2122,6690
34007603601,215,0.14539434075857918,0.17274526434831777,483,611,3322
34007603602,351.1,0.10833653476757588,0.1244717633499808,282,324,2603
34007603603,287.9,0.09930008748906387,0.13519406890536415,227,310,2286
34007603700,217.6,0.23557213930348259,0.3031718711581018,947,1233,4020
34007603800,275.2,0.10658841347974252,0.10597876699571615,563,569,5282
34007603901,280.2,0.12086797809774893,0.06469276008923139,596,319,4931
34007603902,199.9,0.1421952957947256,0.10192444761225944,399,286,2806
34007604100,99.9,0.5174753987105531,0.8850847457627119,1525,2611,2947
34007604200,249.8,0.140625,0.2656626506024096,459,882,3264
34007604300,244.9,0.13516339869281047,0.09751633986928104,517,373,3825
34007604400,279,0.15456401283172938,0.17402672864613597,530,599,3429
34007604600,185.5,0.25489212242849973,0.17878486055776893,508,359,1993
34007604700,182.1,0.1584207896051974,0.038980509745127435,317,78,2001
34007605100,147.1,0.22257479601087943,0.042043399638336344,491,93,2206
34007605200,153.2,0.3345120226308345,0.1934229137199434,946,547,2828
34007605300,137.8,0.2809667673716012,0.1719840478564307,558,345,1986
34007605400,156.1,0.2979214780600462,0.04311008468052348,774,112,2598
34007605602,219.3,0.18184919822586149,0.08870692596383487,533,260,2931
34007605700,206.3,0.13017925359976493,0.06866453302298516,443,236,3403
34007605800,249.9,0.1144082946013586,0.06006435466571326,320,168,2797
34007605900,291.3,0.06862745098039216,0.08360477741585233,189,231,2754
34007606000,336.9,0.15851172273190622,0.03959390862944162,311,78,1962
34007606100,518.4,0.056078959174517724,0.08344549125168237,125,186,2229
34007606200,405.1,0.06585559375826501,0.0833112933086485,249,315,3781
34007606300,465.7,0.11004983388704319,0.08845514950166113,265,213,2408
