GEOID,li_d,moe_li_d,cv_li_d,cat_li_d,z_1dir,z_1dir_sig
34007610800,0.5040431266846361,0.10844646440801531,0.13079218599669612,Medium,3.4042075423360267,Yes
34007611700,0.14581312641448432,0.05322074366796315,0.22188013150784144,Medium,-2.226779560395317,No
34007611600,0.32715404699738904,0.11004935196594577,0.2044886888025928,Medium,2.4046103299307253,Yes
34007611500,0.19087719298245615,0.05459117614993699,0.1738611344843112,Medium,0.018483054674772684,No
34007611400,0.22253521126760564,0.06885814323320565,0.18810081064820902,Medium,3.2787477400901914,Yes
34007611300,0.35185185185185186,0.08317797224079655,0.14370854266527,Medium,-0.2464080594712418,No
42101033701,0.5030894308943089,0.12193050268751626,0.14733341942896144,Medium,5.555857167094141,Yes
42101033702,0.2917139614074915,0.09958302007251829,0.2075210594157241,Medium,3.308630884118255,Yes
42101031502,0.5641447368421053,0.1299295563373854,0.1400075682173745,Medium,5.86448485294948,Yes
42101031401,0.6301693580149665,0.0954804147759229,0.09210667671583139,High,7.7993681590853035,Yes
42091204009,0.136860264519839,0.04228275587384106,0.18781056030397592,Medium,1.8856203958898614,Yes
42091204300,0.16784255477163015,0.077759229018022,0.28163327291811235,Medium,1.814600240515628,Yes
42091205200,0.08850820842255532,0.039564996586450095,0.2717450741132296,Medium,-1.174566683743928,No
42091205807,0.10876320696084525,0.05445453608322063,0.3043590049775145,Medium,0.8706543973061341,No
42091205906,0.12215513237343242,0.038136009293738934,0.18978313823296758,Medium,1.6215314280186932,No
42091206102,0.10249917428162501,0.04574360612078545,0.27129646155886517,Medium,1.2989554350679489,No
42091206105,0.05108416023520764,0.03724420733834039,0.4432069631874405,Low,-0.42285790699607584,No
42091206904,0.15943620721215448,0.04149260463375835,0.1582041388434646,Medium,5.130268794531682,Yes
42091202100,0.21096382835317906,0.0896382534136984,0.25829707342051883,Medium,2.9649242944663636,Yes
42091202604,0.17360496014171833,0.05598554308588186,0.1960414308788556,Medium,0.478363687537062,No
42091203500,0.2577141057934509,0.07708237604427945,0.18182391342798954,Medium,2.807142146070599,Yes
42091203804,0.6911071849234394,0.0997552337507855,0.0877454044852363,High,8.53801047064024,Yes
