GEOID,hous_c,li_c,nw_c,tot199_c,totnw_c,univ_c
42017103400,290.2768658357784,0.2066546402084586,0.054177416153998806,1031,273,4989
42017103700,314.11817752563087,0.24130938586326767,0.03302433371958285,833,114,3452
42017103800,295.25863245753857,0.1959721146398141,0.05084745762711865,253,66,1291
42017103900,403.4341362443319,0.17739914808318716,0.049862877088007976,708,200,3991
42017104000,346.94446115830084,0.1530426884650318,0.039473684210526314,1011,261,6606
42017104100,256.82786137538835,0.2553648068669528,0.2249786142001711,595,526,2330
42017104201,467.0406207900204,0.05496828752642706,0.064268250087321,156,184,2838
42017104203,361.2670401958615,0.1025260029717682,0.09528231797919762,552,513,5384
42017104204,261.98754823364,0.10504305043050431,0.06628516928946114,427,278,4065
42017104301,529.7575041532517,0.12369135323768903,0.02753005040713455,319,71,2579
42017104303,423.5391229678642,0.08821689259645464,0.09968717413972888,423,478,4795
42017104304,767.636860342302,0.07754442649434572,0.025078369905956112,96,32,1238
42017104400,531.0919059269374,0.20611596505162827,0.09650516282764099,519,243,2518
42017104502,373.3656162772791,0.1139093935446519,0.10264429911856696,787,722,6909
42017104503,483.4092825472325,0.08592362344582594,0.11745115452930728,387,529,4504
42017104505,469.6204642191462,0.07713018688628445,0.1537488136665612,487,972,6314
42017104506,564.8967508603104,0.03207810320781032,0.11297071129707113,69,243,2151
42017104601,414.2872706703095,0.08967741935483871,0.0389247311827957,417,181,4650
42017104603,397.2069279671316,0.0867635189669088,0.09976444506027435,430,720,4956
42017104604,331.1985202288088,0.15059704152557477,0.05910206944931603,845,337,5611
42017104701,307.8909692484306,0.27093446601941745,0.029832935560859187,893,100,3296
42017104702,371.40849367587333,0.143879173290938,0.04288288288288288,362,119,2516
42017104703,368.11696930078176,0.11725367810967455,0.08286088094199738,263,190,2243
42017104800,242.32736210133626,0.12966680048173423,0.053452115812917596,323,168,2491
42017104901,389.11155720677124,0.028875180469877935,0.09364767518009168,220,715,7619
42017104902,286.2736605147211,0.05897244973938943,0.07345971563981042,396,496,6715
42017105003,389.7342780344913,0.10056925996204934,0.062396351575456054,477,301,4743
42017105004,376.4792204158793,0.05855855855855856,0.07343029443064916,325,414,5550
