GEOID,hous_b,li_b,nw_b,tot199_b,totnw_b,univ_b
34005704011,122.53214759021671,0.10251364672387844,0.13753887742348064,299.04959022742696,378.5400000000004,2917.1686066084076
34005704012,103.89937896020288,0.08331241806506116,0.11484488908192879,515.1981261834735,711.2700000000004,6183.929576743394
34005704013,109.2269155864133,0.06310679611650485,0.273214594501124,364,1580,5768
34005704014,128.62261367775807,0.06053305562223247,0.5586233332987992,292.028270624025,2695.9999999999995,4824.277704514461
34005704200,170.54859678939334,0.09985734261377678,0.2287819797801824,560.0001683768281,1288.0700000000006,5608.001912716311
34005704302,139.6740096869104,0.05741393083526022,-0.009767820458157401,148.03836449289156,-25.200000000000273,2578.4397786556874
34005704500,197.2828802680992,0.22000662378561697,-0.0035458329865981427,1140.26051902771,-17.470000000000255,5182.846531510353
34005704600,123.38106847865802,0.328130923446509,0.43390648822632555,1133.1279327985685,1536.8099999999997,3453.2799603864696
34005704700,226.95316029562787,0.17849117174959872,-0.23235383217206906,556,-767,3115
34005704801,169.80340080522933,0.20239069905939056,0.3650197510174767,553.8864204589045,1219.75,2736.718693173607
34005704802,59.95050957359817,0.08158688857278287,0.07469561667067974,39.80510772938487,356.75,487.88609720071145
34005981802,75.51056865298668,0.10256410256410256,0.844516701152823,4,2857,39
34005982111,67.5612939483536,0.31338451193594535,0.6464887139592936,813.68525798677,2447.38,2596.443665731611
34007600200,23.39071568506471,0.5633116883116883,0.8802788027880278,1388,2147,2464
34007600400,20.72150488616844,0.6513478818998716,0.9577319587628866,2537,3716,3895
34007600700,20.51077771783452,0.6693830034924331,0.9135416666666667,1150,2631,1718
34007600800,21.56400096561769,0.7734826640229873,0.9631785874990663,4281.918072104454,5543.950000000001,5535.894079208374
34007600900,28.7993796723019,0.7401520387007602,0.862092703074805,3213,3757,4341
34007601000,30.766166576751782,0.5261858578733909,0.7468733485996125,2984,4240,5671
34007601101,29.22083400896973,0.5721205597416577,0.9024128686327078,2126,3366,3716
34007601102,35.753376227321134,0.5910016286644951,0.837908760597497,2903,4151,4912
34007601200,31.187620913419615,0.5349222111883483,0.8969190429367421,3232,5473,6042
34007601300,27.675501441187677,0.7011011011011011,0.9413745296098237,3502,4753,4995
34007601400,29.99350029286076,0.5180265654648957,0.9753653444676409,2457,4672,4743
34007601500,25.708714536737794,0.6054838709677419,0.9042652552926526,3754,5809,6200
34007601600,29.431561177303646,0.5827084252315836,0.936080740117746,1321,2226,2267
34007601700,22.828776569507603,0.8276797829036635,0.8528183716075156,2440,2451,2948
34007601800,20.51077771783452,0.6905775075987842,0.8117647058823529,1136,1380,1645
34007601900,27.471479422604776,0.6879107856987441,0.9342949322941019,2282.6112862655136,3217.3100000000004,3318.1792373073695
34007602000,33.569157875459226,0.5183742692030672,0.2027586299678968,3060.3887931108475,1205.6900000000005,5903.820915818214
34007602503,59.13747349515104,0.24245085211038653,0.5816475201000809,630.7945446646772,1525.0100000000002,2601.7419168995693
34007602601,75.17668749954629,0.1879535617356814,0.15922526700852466,517.6356725692749,438.75,2754.0616092681885
34007602602,66.38567485932775,0.26015325314943544,0.2057228731377527,676.205439209938,537.9899999999998,2599.2580211162567
34007602901,81.98127067257805,0.08600029700445079,0.14181352824837226,430.656248498708,707,5007.613719245419
34007602902,75.15935670576349,0.23800444868128376,0.11301587301587301,749,356,3147
34007603001,75.51056865298668,0.15473251028806584,-0.007133058984910837,564,-26,3645
34007603002,58.09045607071627,0.2701219512195122,0.3144308943089431,1329,1547,4920
34007603100,85.83619990134858,0.1888976585109182,-0.013680610365693239,718,-52,3801
34007603200,81.89422611489879,0.1758030374694759,0.1267809165138488,996.3437718390487,772.9300000000003,5667.386426172685
34007603301,100.30613212694418,0.18237261459767853,0.16433984842441166,927,824,5083
34007603302,100.65734407416737,0.11521271312696574,0.030625614150016377,696,187,6041
34007603303,98.12861805416036,0.1937261551504875,0.09466111321469141,457,250,2359
34007603400,94.68674097137308,0.11162790697674418,0.1260686660333831,816,929,7310
34007603501,138.51799198482766,0.09851421188630491,0.3370931356751531,610,2092,6192
34007603503,149.22159008965687,0.07230965520438032,-0.062472773862908476,338.62611532211304,-292.5600000000004,4682.999983072281
34007603504,105.47731347845423,0.06037467975287814,0.06745304282494363,163.37388341128826,179.55999999999995,2705.999999411404
34007603505,93.2818931824803,0.11404011461318052,0.14459535936615733,398,511,3490
34007603506,123.34563586478569,0.061016433353621426,0.18607115821347464,401,1229,6572
34007603507,149.68653190652523,0.11149100639215104,0.202484649435956,750,1418,6727
34007603601,94.89746813970699,0.12410432788764689,0.03616438356164384,433,132,3489
34007603602,135.77853879648677,0.04249815225424981,0.040565686639374765,115,109,2706
34007603603,112.38782311142204,0.0946822308690013,0.02830188679245283,219,66,2313
34007603700,87.45177485857528,0.1419316843345112,0.03651354534746761,482,124,3396
34007603800,87.24104769024136,0.09489894128970164,0.02000384689363339,493,104,5195
34007603901,95.24868008693018,0.13714637146371464,-0.008787630554986658,669,-42.909999999999854,4878
34007603902,78.74171856744006,0.14051282051282052,0.07860170940170935,411,229.90999999999985,2925
34007604100,39.818134954688226,0.3576301504747459,0.21831079218095947,994.0143184661865,609.6700000000001,2779.4476675987244
34007604200,69.46972316074775,0.21742881794650562,0.021671826625386997,756,77,3477
34007604300,68.34584492963353,0.2016764033528067,0.010858585858585859,794,43,3937
34007604400,82.81577715522911,0.13483813483813484,-0.01188001188001188,454,-40,3367
34007604600,69.82093510797095,0.20372836218375498,-0.0307198532783127,459,-67,2253
34007604700,68.4863297085228,0.17391304347826086,-0.04235176880916791,332,-85,1909
34007605100,59.40584428408695,0.20810107472960734,0.05559815233856326,551.9892692565918,148.64999999999964,2652.505577802658
34007605200,67.37261625356216,0.20554644141296766,-0.29915062073259474,484.3988620773889,-711.0899999999997,2356.639511349611
34007605300,55.702214829598546,0.24721984602224123,0.24299065420560748,578,572,2338
34007605400,64.57988159782842,0.1825365534813094,-0.05081534266269746,459.69308638572693,-130.07000000000016,2518.3619083166122
34007605602,73.5437817485368,0.22050223598211213,-0.03730368311327315,641,-107.36000000000013,2907
34007605700,75.65105343187597,0.12469701050363588,-0.015507129405434457,463,-57.63999999999987,3713
34007605800,90.68292477302866,0.11511035653650255,-0.026146010186757215,339,-77,2945
