GEOID,hous_d,li_d,nw_d,tot199_d,totnw_d,univ_d,rc_hous,rc_li,rc_nw,rc_pop,rr_hous,rr_li,rr_nw,rr_pop
42045402800,123.6,0.3587812992470671,0.7700928033619331,2049,4398,5711,-4.368678349486709e-4,1.6435440387694473,20.38892544573053,-1.6731473327991744e-6,-4.034001758402411e-4,1.5107323224324556,18.402215082161607,-1.553387629144132e-6
42045402900,86.4,0.516560139453806,0.9834926151172894,1778,3396,3442,-1.4994639540796812e-4,-0.329608615417776,-0.35564858798049087,-3.37028756462818e-5,-1.3845927174128454e-4,-0.30297356037789397,-0.3209939546399461,-3.129050805581454e-5
42045403001,120.6,0.22473753280839895,0.04101049868766404,685,125,3048,-0.0011052347616902906,0.03886286685933997,21.085248609415153,-3.941562118528166e-5,-0.001020564714412987,0.035722431356784524,19.030688056812604,-3.659434954948882e-5
42045403002,119.5,0.2707439198855508,0.13662374821173104,757,382,2796,-0.0010853751998029433,0.44721112514418143,0.5060138566845201,-4.5129148231043374e-5,-0.0010022265578434897,0.4110728314968351,0.45670753223596383,-4.189891661162451e-5
42045403101,117.9,0.34367726920093095,0.4887509697439876,1329,1890,3867,-7.279033204330768e-4,1.5762784192075172,55.10237395781667,1.697149802221729e-5,-6.721399562224555e-4,1.4489023116365554,49.733162240866264,1.5756720618052585e-5
42045403103,102,0.30111986727498963,0.4537536291995023,726,1094,2411,-0.0013021544957727649,1.7646862414475053,80.14421006547758,-5.11726618186212e-5,-0.0012023987818366437,1.6220852505434855,72.33490529652663,-4.750985060379236e-5
42045403104,125.8,0.534181240063593,0.7137192704203014,1344,1800,2516,2.054284797854071e-4,4.220764401984913,43.108395039943,-2.0577042726840922e-6,1.896909734216604e-4,3.879692333784416,38.90788455150959,-1.9104189445629373e-6
42045403200,162.9,0.14712256200337107,0.239067755886593,611,995,4153,-0.0010010685123547397,0.4167114506890707,41.591493448495406,-2.3438551460731048e-5,-9.243784540912199e-4,0.3830377786256617,37.53879085313928,-2.1760878537364214e-5
42045403300,130.9,0.3039964077233947,0.232805023923445,2031,1557,6681,-8.046542936947007e-4,1.3691302953900517,27.871862386433538,-1.5632182164761478e-5,-7.430111754626784e-4,1.258493439832552,25.156009704423287,-1.4513269641737315e-5
42045403401,113.5,0.1916605705925384,0.5370705244122965,524,1485,2734,-0.0011310923915610629,-0.32349702126875846,27.715524211232005,-3.8652657070256185e-5,-0.0010444414377655015,-0.29735583270847127,25.014905224284355,-3.588599649860796e-5
42045403402,106.2,0.42905317769130996,0.4337224383916991,1654,1672,3855,-9.161993303376451e-4,8.001343518077054,77.41593901817544,-2.5451446818577398e-5,-8.460109474673094e-4,7.354769930408957,69.87247878226411,-2.3629695877203036e-5
42045403501,157.4,0.22518518518518518,0.1508641975308642,912,611,4050,-4.236809682684931e-4,0.9995794017546284,7.541475965391999,-2.1459399321222202e-5,-3.912235312992427e-4,0.9188052619502991,6.806629565716355,-1.9923389160643437e-5
42045403502,151.4,0.2248957330766763,0.19473853063843438,701,607,3117,-3.286813945361744e-4,1.75272792735332,19.26958126675464,2.68237810160812e-5,-3.035017040494338e-4,1.6110932654200376,17.391940539380677,2.490380182332279e-5
42045403601,167.6,0.24785906532909224,0.09689169499757164,1013,399,4087,-1.3780708403257212e-4,3.8397165789554193,18.037966838428428,6.6541603665980054e-6,-1.272499311772452e-4,3.529436271845129,16.280335434507506,6.177872201201541e-6
42045403602,159.2,0.11586051743532058,0.16985376827896512,206,302,1778,-7.671952225961264e-5,-1.0454582819436995,105.98616416329493,-4.457776084109523e-5,-7.084217764290955e-5,-0.960976755736696,95.65880231685551,-4.1386996152725906e-5
42045403701,143.8,0.2740740740740741,0.08004851425106124,444,132,1620,-4.1296467155518574e-4,0.9701273485341273,20.908835107044577,-3.0499799729036558e-5,-3.81328190803387e-4,0.8917331740033734,18.871464402644968,-2.8316700305881344e-5
42045403702,139,0.39496139780577,0.023567655424624138,972,58,2461,-4.416355236608514e-4,2.7379008652657837,3.549510469100406,-1.1565510837282363e-5,-4.0780262049508996e-4,2.5166562228960325,3.2036438243216923,-1.0737680482274191e-5
42045403800,196.8,0.20330106332328202,0.10181762168823166,1281,661,6301,5.952122843695193e-4,-0.31999659364883926,8.864506450938592,-1.081604246844772e-5,5.496141417807673e-4,-0.2941382680901805,8.000743086808429,-1.0041857185807623e-5
42045403901,193.5,0.23812423873325214,0.07618763071407231,782,255,3284,-1.9637943071316332e-4,0.7583005218921715,6.325968896852053,-1.662886540564719e-5,-1.813351557237083e-4,0.6970236765895411,5.70956230885198,-1.5438612787685466e-5
42045403902,219.6,0.09437041066086484,0.043655097613882865,347,161,3677,-8.928107288672523e-5,1.0960569498568955,5.914967944522909,-1.765435536366299e-5,-8.24414104690083e-5,1.007486640038746,5.3386095608091475,-1.639070073796072e-5
42045404003,157.1,0.1337035454933789,0.3387441264416916,313,793,2341,-0.0014355972385410895,-0.7911233124093712,7.431737512111467,-2.250049851273193e-6,-0.0013256187160844261,-0.7271941188637191,6.707584099812462,-2.088996907449809e-6
42045404004,201.4,0.17469492614001284,0.07771355170199101,1088,484,6228,-1.9268595198388463e-4,2.4648629756817795,15.727289303505714,3.4765364379898847e-006,-1.779246277569875e-4,2.2656820139225164,14.19481184493203,3.2276946501820688e-6
