GEOID,li_c,moe_li_c,cv_li_c,cat_li_c
42101016600,0.7550260610573343,0.14775419299910456,0.11896301697079634,High
42101016701,0.5236206274792643,0.1505395024970236,0.1747703787352301,Medium
42101016702,0.7416283650689429,0.14646807308459792,0.12005789758646877,Medium
42101016800,0.6414212248714353,0.1353184640063488,0.12824718180792583,Medium
42101016901,0.6848806366047745,0.15377933129142388,0.13649513677073874,Medium
42101016902,0.6058707714336854,0.0787069078587572,0.07897087440242379,High
42101017000,0.557382910260994,0.1052660804272191,0.11480714079243058,High
42101017100,0.5716671305315892,0.09609241503330711,0.10218331411011279,High
42101017201,0.7292551685075049,0.1399356053525928,0.11664948151208551,High
42101017202,0.6638800807149035,0.11775328062226305,0.10782450549597142,High
42101017300,0.6791221826809015,0.12507321047476186,0.11195680060548624,High
42101017400,0.7310843373493976,0.13868043432231578,0.11531393997463608,High
42101017500,0.8704531902206321,0.08371857738516128,0.058466960408203913,High
42101017601,0.760100038476337,0.100732581977703,0.08056256945763417,High
42101017602,0.9080862533692723,0.062091783268158646,0.04156627717312932,High
42101017701,0.8129562043795621,0.1352149828234704,0.10110945399590197,High
42101017702,0.8588703261734288,0.09250570335986039,0.06547492492623323,High
42101017800,0.8515960712093309,0.07326894486385178,0.052302251642904876,High
42101017900,0.7001118389519092,0.13609603744626872,0.11817133900582459,High
42101018001,0.4835724201758445,0.18354170456260846,0.23073173662965746,Medium
42101018002,0.40513874614594036,0.07180935741091503,0.10774853114972624,High
42101018300,0.3539518900343643,0.07689422539320143,0.13206373883448883,Medium
42101018400,0.27732610659439927,0.09351854676302808,0.20499397298431152,Medium
42101018800,0.6661000485672657,0.06525781672023336,0.059556226405300464,High
42101019000,0.7476599564046673,0.08749107630778903,0.07113670348289866,High
42101019100,0.5914972273567468,0.0904195420254517,0.09292737886734302,High
42101019200,0.7010564898663217,0.08517717616088698,0.07385915278460561,High
42101019501,0.6933271332248314,0.08652185181610605,0.07586154916552448,High
42101019502,0.7312060573282856,0.1200083708098732,0.09977135196644644,High
42101019700,0.67742904339991,0.08225100683713793,0.07380937169169068,High
42101019800,0.794613942389637,0.07964976530883866,0.0609343828935696,High
42101019900,0.8399657680787335,0.07924128726120883,0.057348760064055856,High
42101020000,0.5506706408345753,0.11564396451557456,0.12766302970818288,Medium
42101020101,0.614735226400614,0.11191258128736893,0.11066872595990705,High
42101020102,0.4579976985040276,0.14400678095903952,0.1911409519533921,Medium
42101020200,0.6180105944673338,0.10169364462737249,0.10003039642316158,High
42101020300,0.6492857142857142,0.12539041169939924,0.11739850825026263,High
42101020400,0.4677020825979527,0.12441961387870025,0.16171624298599888,Medium
42101020500,0.4991757335970986,0.1229503900136123,0.1497305926494706,Medium
42101020600,0.2497055359246172,0.07731573442741389,0.1882234860608889,Medium
42101020700,0.19343800322061191,0.07287151335611369,0.22900770053558245,Medium
42101020800,0.35809018567639256,0.11015518975066005,0.18700216834852568,Medium
42101020900,0.2963716514072567,0.0807649609406351,0.16566105584075794,Medium
42101021000,0.26547956292998787,0.10548035538349936,0.24153195024893143,Medium
42101021100,0.1765994741454864,0.08124565249184806,0.2796693174842138,Medium
42101021200,0.30219523587108826,0.11877247836445459,0.23892538973734023,Medium
42101021300,0.2429555416405761,0.06529426913821848,0.16337377841903755,Medium
42101021400,0.28894394549396096,0.06143369632261261,0.12924898629170611,Medium
42101021500,0.21424533634821932,0.050845575078732885,0.1442699510217714,Medium
42101021600,0.26373626373626374,0.11106839147372964,0.2560087037515045,Medium
42101021700,0.1529758976881456,0.057283336636677805,0.22763518678322886,Medium
42101021800,0.28131710808876165,0.07679881641100654,0.16595581726749442,Medium
42101021900,0.17663617171006332,0.08813633003130854,0.3033258454921698,Medium
42101022000,0.19175515302935664,0.09451990241450552,0.29964726545869597,Medium
42101023100,0.07874682472480948,0.03682294546493175,0.28426250020645416,Medium
